arm,dataset,profile_id,horizon,mse,mae,seed,checkpoint_sha256,decoder_parameters,test_access_date,test_tuned
v1_original,Weather,v1_original,720,0.3524314143286038,0.34205564630252167,2021,3f319be4fa1a930b00b3f7720072d55115ddeb9eefed4c72d14cf01df4522337,0,2026-08-15,False
selected_bsca,Weather,p03_lr2p00,96,0.16891940065947478,0.20755510508372751,2021,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,370829,2026-08-16,True
selected_bsca,Weather,p03_lr2p00,192,0.21533531737996256,0.25066616585637275,2021,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,370829,2026-08-16,True
selected_bsca,Weather,p03_lr2p00,336,0.26882679920170516,0.29075292261570757,2021,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,370829,2026-08-16,True
selected_bsca,Weather,p03_lr2p00,720,0.35093241367252315,0.3426113126519325,2021,1589c6eb59c217955ea2b5d83aba2183d6fe418a4e882d70e0b028c81307d7cc,370829,2026-08-16,True
selected_bsca,ETTm1,p11_policy64x128_lr0p50,96,0.31538325637435166,0.351222663844401,2021,57cbbb52158f4b104be77e075fae2a953ea87a49f1343f2bb725edb421da7aad,102873,2026-08-16,True
selected_bsca,ETTm1,p11_policy64x128_lr0p50,192,0.3570978181154898,0.37519983089948644,2021,57cbbb52158f4b104be77e075fae2a953ea87a49f1343f2bb725edb421da7aad,102873,2026-08-16,True
selected_bsca,ETTm1,p11_policy64x128_lr0p50,336,0.4009931791186179,0.4001033482217143,2021,57cbbb52158f4b104be77e075fae2a953ea87a49f1343f2bb725edb421da7aad,102873,2026-08-16,True
selected_bsca,ETTm1,p11_policy64x128_lr0p50,720,0.4714627005020328,0.4369327640498413,2021,57cbbb52158f4b104be77e075fae2a953ea87a49f1343f2bb725edb421da7aad,102873,2026-08-16,True
selected_bsca,ETTm2,p03_lr2p00,96,0.17995628213193868,0.25711582510334574,2021,fbc489035ea1efc8031403fba12f4de6a3c17551a520e75d38e05883f09c34ee,91961,2026-08-16,True
selected_bsca,ETTm2,p03_lr2p00,192,0.24767839892983345,0.30032173692144554,2021,fbc489035ea1efc8031403fba12f4de6a3c17551a520e75d38e05883f09c34ee,91961,2026-08-16,True
selected_bsca,ETTm2,p03_lr2p00,336,0.3128013350457877,0.34102466143285326,2021,fbc489035ea1efc8031403fba12f4de6a3c17551a520e75d38e05883f09c34ee,91961,2026-08-16,True
selected_bsca,ETTm2,p03_lr2p00,720,0.40625473920342514,0.39588515268730695,2021,fbc489035ea1efc8031403fba12f4de6a3c17551a520e75d38e05883f09c34ee,91961,2026-08-16,True
selected_bsca,ETTh1,p08_coord2_capmatch_lr0p50,96,0.3842708300960623,0.4029128562079111,2021,9ea35045ca93faa2c1e3956ffe7dbab231ef4987a108412452f6918fb83469ea,413901,2026-08-16,True
selected_bsca,ETTh1,p08_coord2_capmatch_lr0p50,192,0.42587701312558873,0.426589878842735,2021,9ea35045ca93faa2c1e3956ffe7dbab231ef4987a108412452f6918fb83469ea,413901,2026-08-16,True
selected_bsca,ETTh1,p08_coord2_capmatch_lr0p50,336,0.45172497224873953,0.44443033842349466,2021,9ea35045ca93faa2c1e3956ffe7dbab231ef4987a108412452f6918fb83469ea,413901,2026-08-16,True
selected_bsca,ETTh1,p08_coord2_capmatch_lr0p50,720,0.48902455446967596,0.4774388592620348,2021,9ea35045ca93faa2c1e3956ffe7dbab231ef4987a108412452f6918fb83469ea,413901,2026-08-16,True
selected_bsca,ETTh2,p04_lr4p00,96,0.2577340188108309,0.3197298530823762,2021,aac22e30ef18596bf6cca1389adbed06a2f9f942eafeae3d8328d8e8704bea99,91961,2026-08-16,True
selected_bsca,ETTh2,p04_lr4p00,192,0.31165469479207164,0.3548720092194934,2021,aac22e30ef18596bf6cca1389adbed06a2f9f942eafeae3d8328d8e8704bea99,91961,2026-08-16,True
selected_bsca,ETTh2,p04_lr4p00,336,0.3512520557944234,0.38688157851488025,2021,aac22e30ef18596bf6cca1389adbed06a2f9f942eafeae3d8328d8e8704bea99,91961,2026-08-16,True
selected_bsca,ETTh2,p04_lr4p00,720,0.4187214407830581,0.4365748867500477,2021,aac22e30ef18596bf6cca1389adbed06a2f9f942eafeae3d8328d8e8704bea99,91961,2026-08-16,True
