model,strategy,dataset,epochs_ran,best_epoch,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,post_best_val_drift_pct,train_loss_drop_pct,mean_train_region_grad_norm_early,last_train_region_grad_norm_early,mean_train_region_grad_norm_middle,last_train_region_grad_norm_middle,mean_train_region_grad_norm_late,last_train_region_grad_norm_late
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,13,3,0.3812420554459095,0.38027048110961914,0.435229804366827,14.452692487946472,-30.94486583961752,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,14,4,0.5659486055374146,0.5341168344020844,0.5897181704640388,10.40995761240091,-38.3965488964508,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,ETTh2,14,4,0.37123624607920647,0.3569049686193466,0.4551735520362854,27.53354311571552,-33.51024658898777,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,Weather,13,3,0.5465091913938522,0.5238903388381004,0.5782247334718704,10.37132976230759,-32.307669079381775,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,ETTh2,11,1,0.374531764537096,0.374531764537096,0.44357161223888397,18.433642814546847,-53.19518565020189,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,Weather,11,1,0.5270421206951141,0.5270421206951141,0.616693802177906,17.01034470727891,-34.7508381428005,0.0,0.0,0.0,0.0,0.0,0.0
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,ETTh2,12,2,0.37107325345277786,0.3665463887155056,0.44066575169563293,20.22100483375788,-32.71519730971968,0.015210177558294376,0.014857415163820126,0.013196280758508946,0.014241402721037652,0.013520917630782675,0.014143618641783887
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,Weather,11,1,0.5320108309388161,0.5320108309388161,0.5825961455702782,9.5083242087753,-33.42847539135791,0.014907180036981847,0.014471379354776881,0.01446057019625497,0.01702370656166774,0.016637800338355276,0.02051005821478895
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,12,2,0.37140483036637306,0.36705857887864113,0.442961722612381,20.678754864039117,-29.54430856545477,1.653718010279797e-06,1.9844616123357565e-05,9.495303653921608e-05,4.8650053641840146e-05,0.003962149451798181,0.004043495461187743
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,15,5,0.5347235724329948,0.5308351963758469,0.5939183905720711,11.883762536265486,-35.87370313745909,1.2031196792401433e-05,1.2537410755935193e-05,0.00013408666194680128,0.00011396252242372909,0.0027235676579737945,0.002075988708909111
