dataset,readout_mode,mode_rank,encoder_hash,correction_parameters,readout_contract_pass,pass
Weather,learned-basis-forecast-operator,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,0,True,True
Weather,siff-coupling-field,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,0,True,True
Weather,ccsf-coupling-field,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
Weather,ccsf-no-contrast-control,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
Weather,ccsf-permuted-contrast-control,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
Weather,ccsf-independent-scope-control,116,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
ETTm1,learned-basis-forecast-operator,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,0,True,True
ETTm1,siff-coupling-field,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,0,True,True
ETTm1,ccsf-coupling-field,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,2881,True,True
ETTm1,ccsf-no-contrast-control,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,2881,True,True
ETTm1,ccsf-permuted-contrast-control,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,2881,True,True
ETTm1,ccsf-independent-scope-control,116,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,2881,True,True
ETTm2,learned-basis-forecast-operator,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,0,True,True
ETTm2,siff-coupling-field,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,0,True,True
ETTm2,ccsf-coupling-field,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,2881,True,True
ETTm2,ccsf-no-contrast-control,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,2881,True,True
ETTm2,ccsf-permuted-contrast-control,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,2881,True,True
ETTm2,ccsf-independent-scope-control,106,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,2881,True,True
ETTh1,learned-basis-forecast-operator,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,0,True,True
ETTh1,siff-coupling-field,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,0,True,True
ETTh1,ccsf-coupling-field,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,2881,True,True
ETTh1,ccsf-no-contrast-control,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,2881,True,True
ETTh1,ccsf-permuted-contrast-control,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,2881,True,True
ETTh1,ccsf-independent-scope-control,109,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,2881,True,True
ETTh2,learned-basis-forecast-operator,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,0,True,True
ETTh2,siff-coupling-field,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,0,True,True
ETTh2,ccsf-coupling-field,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
ETTh2,ccsf-no-contrast-control,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
ETTh2,ccsf-permuted-contrast-control,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
ETTh2,ccsf-independent-scope-control,116,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,2881,True,True
