seed,dataset,candidate,reference,dense_mse_improvement_pct,dense_mae_improvement_pct,short_h1_96_mse_improvement_pct,middle_h97_336_mse_improvement_pct,long_h337_720_mse_improvement_pct
2021,ETTh1,joint_geo,a6,-1.417499499494812,-0.8871155260284702,-3.8507011765993138,-1.8575069196052008,-0.9027994192056132
2021,ETTh1,joint_geo,uniform,-0.07214327748390481,-0.22733263553422756,0.7292828991375733,-0.10743776947450545,-0.15518062433366175
2021,ETTh1,joint_geo,history,-0.07862603668795654,-0.21054332204388793,0.5944490148773185,-0.1210410936356432,-0.14179904001863086
2021,ETTh1,joint_geo,atom,-0.0639731956213252,-0.22248693352706628,0.7633960225225778,-0.09865542763178858,-0.15061430544631715
2021,ETTh1,joint_geo,joint_perm,-0.008980405581415773,-0.14355007360875582,0.7106873649108003,-0.025814875664731396,-0.09096806769119947
2021,ETTh1,joint_geo,joint_random,-0.025679796821109768,-0.1474124811926325,0.5874944999368359,-0.062274142963780754,-0.08421286365687397
2021,ETTh2,joint_geo,a6,-2.3382125938084197,-1.0478166499388264,-1.4933076949229296,-2.4997803306379796,-2.350725465822756
2021,ETTh2,joint_geo,uniform,-0.7149690678787124,-0.5725392716063205,-2.5004399101760333,-0.8915897924942406,-0.4860037167095932
2021,ETTh2,joint_geo,history,-0.649668899793121,-0.5368512173624218,-2.2813784955775684,-0.8094405161739537,-0.44080736908207463
2021,ETTh2,joint_geo,atom,-0.6907177974101897,-0.5643124950402534,-2.442627893516369,-0.8607795315069167,-0.4672818537714063
2021,ETTh2,joint_geo,joint_perm,0.09755586672531846,0.06917596643372104,0.3814391040178555,0.1912914517176123,0.03414890342022803
2021,ETTh2,joint_geo,joint_random,0.08477205726128423,0.06500213486735351,0.3960428969938201,0.16176341174358733,0.025595459805582976
2021,ETTm1,joint_geo,a6,-0.5392191772159771,0.27409627325983843,1.4485506668792447,-0.41750680870531465,-0.7804834095020752
2021,ETTm1,joint_geo,uniform,0.6889406090020311,0.8281120941272757,2.5145331316169806,1.2253040351285382,0.2875502850513967
2021,ETTm1,joint_geo,history,0.6814142279362168,0.8206850691486633,2.489149252735323,1.214049278709206,0.283362323334968
2021,ETTm1,joint_geo,atom,0.6888236138593351,0.8285016044221827,2.515124717213535,1.2237737622706968,0.28796710468820264
2021,ETTm1,joint_geo,joint_perm,0.5504071761996965,0.6787455538580511,2.1141605416610587,0.9918294355528379,0.21500998827961304
2021,ETTm1,joint_geo,joint_random,0.5953318734438384,0.6406562099940172,1.9869915971842511,0.9757149654348374,0.30256004185165164
2021,ETTm2,joint_geo,a6,-2.4786781208259168,-0.4690581111047809,-7.293429144131092,-3.5667609121788235,-1.6029145465805916
2021,ETTm2,joint_geo,uniform,-2.0432143805398484,-0.8469840750865876,-5.185926714548739,-2.213179308656188,-1.6856792198656212
2021,ETTm2,joint_geo,history,-0.5023556468217061,-0.2250543786278536,0.39133201426870823,-0.42315682733407023,-0.6207310258595111
2021,ETTm2,joint_geo,atom,-2.0359824785767255,-0.8414536967168873,-5.144754429301424,-2.2102639956747883,-1.6796650265399782
2021,ETTm2,joint_geo,joint_perm,-0.41944752455698175,-0.14524250447693898,0.6343666989514385,-0.32194541346812766,-0.5609536680760696
2021,ETTm2,joint_geo,joint_random,-0.5278770708418312,-0.22825928546679197,0.41990743348933046,-0.48264305934120344,-0.6372616406351783
2021,Weather,joint_geo,a6,-0.10317241285002776,-0.2793351471933381,-3.0130619484131316,-0.11341399975690614,0.3379071774287423
2021,Weather,joint_geo,uniform,0.15792569553449987,-0.5532470883235829,-1.2238189022282242,-0.05276238009523926,0.4773694526380212
2021,Weather,joint_geo,history,0.05130425590357257,-0.04171732555500185,-1.5706775655125682,-0.3268963584697637,0.49265206667483685
2021,Weather,joint_geo,atom,0.1699645366772362,-0.5490560565251323,-1.1820663439946477,-0.04066012544643449,0.48492754519416925
2021,Weather,joint_geo,joint_perm,1.1570818061676924,2.034154791375953,0.15124054770868645,0.9469948566689368,1.4197023085595006
2021,Weather,joint_geo,joint_random,0.5617288252527497,0.4661778537226713,0.021500544506980468,0.21722212260469886,0.823031858604073
