scope,mode,mean_step_weight,min_step_weight,max_step_weight,uniform_pressure_share,weighted_pressure_share,pressure_share_delta_pct
1-96,region_balanced,0.33997438543927755,0.33997438543927755,0.33997438543927755,0.4797619047619047,0.24999999999999994,-47.8908188585608
97-192,region_balanced,0.709894701202222,0.709894701202222,0.709894701202222,0.22976190476190472,0.24999999999999994,8.808290155440401
193-336,region_balanced,1.0379521010002186,1.0379521010002186,1.0379521010002186,0.15714285714285714,0.25000000000000006,59.09090909090913
337-720,region_balanced,1.2233006904645432,1.2233006904645432,1.2233006904645432,0.13333333333333333,0.24999999999999994,87.49999999999996
horizon_96,region_balanced,0.33997438543927755,0.33997438543927755,0.33997438543927755,1.0,0.33997438543927755,-66.00256145607224
horizon_192,region_balanced,0.5249345433207497,0.33997438543927755,0.709894701202222,1.0,0.5249345433207497,-47.506545667925025
horizon_336,region_balanced,0.744799210897665,0.33997438543927755,1.0379521010002186,1.0,0.744799210897665,-25.5200789102335
horizon_720,region_balanced,0.9999999999999999,0.33997438543927755,1.2233006904645432,1.0,0.9999999999999999,-1.1102230246251565e-14
