family,variant,dataset,target_horizon,mse,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTh2,96,0.2420680224895477,0.0014281600410948,0.6672643734687567,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTh2,192,0.2828044295310974,-0.0004636759427634,2.0102793501720395,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTh2,336,0.3128443956375122,-0.0014003383484229,3.385448982880135,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTh2,720,0.3941714465618133,-0.0004158395869424,2.5683659909323087,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTm1,96,0.2732632756233215,0.0662656243145098,0.9845259824526886,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTm1,192,0.3095149099826813,0.0508076675456159,0.4317009405804484,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTm1,336,0.3473307490348816,0.0439337138289586,0.1834413493993825,False
A8TAG,a8tag_advratio_w10_d0999_wu1,ETTm1,720,0.4080485701560974,0.0353327923821478,0.3293791229179943,False
A8TAG,a8tag_advratio_w10_d0999_wu1,Weather,96,0.1414031684398651,0.031402761018473,0.0772298660537407,False
A8TAG,a8tag_advratio_w10_d0999_wu1,Weather,192,0.1825045794248581,0.0369349300789023,0.1251352150295259,False
A8TAG,a8tag_advratio_w10_d0999_wu1,Weather,336,0.2318654060363769,0.0442605896868286,0.0857663494113314,False
A8TAG,a8tag_advratio_w10_d0999_wu1,Weather,720,0.3035317361354828,0.0435542764965823,0.0641069096932511,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,96,0.2381041496992111,-1.6360989119020952,-0.9811657910105188,True
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,192,0.2764078080654144,-2.262306539116443,-0.2970435715146657,True
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,336,0.3045898973941803,-2.6398949917708636,0.6575912398119721,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTh2,720,0.3891826570034027,-1.2660500849295595,1.270220227858743,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTm1,96,0.275575578212738,0.9130075971923056,1.8390381022667543,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTm1,192,0.3110263049602508,0.5393666459126534,0.9221198622370697,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTm1,336,0.3485806882381439,0.403961828658872,0.5439715103721765,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,ETTm1,720,0.4086728692054748,0.1883831097562405,0.4828793201790526,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,Weather,96,0.1415651142597198,0.1459664423707485,0.1918460321429282,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,Weather,192,0.1828200072050094,0.209831568714347,0.2981842926896849,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,Weather,336,0.2324097901582718,0.2791490445139155,0.3207522533445583,False
A7DG,a7dg_abs004_t001_w02_d0999_wu1,Weather,720,0.3042419552803039,0.2776413227730367,0.2982420460764023,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTh2,96,0.2382231503725052,-1.58693819600485,-0.9316777499387752,True
A6ST_uniform,a6st_w02_d0999_wu1,ETTh2,192,0.2764983773231506,-2.2302812847954545,-0.2643743686399968,True
A6ST_uniform,a6st_w02_d0999_wu1,ETTh2,336,0.30465829372406,-2.6180325665353776,0.6801941228170794,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTh2,720,0.3894768357276916,-1.1914182201551715,1.3467692303874568,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTm1,96,0.2792646586894989,2.263911797747564,3.2023389058857044,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTm1,192,0.3128849864006042,1.14018610018205,1.5252266352575594,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTm1,336,0.3496496677398681,0.7118669441981806,0.8523059884230744,False
A6ST_uniform,a6st_w02_d0999_wu1,ETTm1,720,0.4081881642341614,0.0695550420756863,0.3637019663384144,False
A6ST_uniform,a6st_w02_d0999_wu1,Weather,96,0.1423005014657974,0.6661939210621748,0.7123118411851204,False
A6ST_uniform,a6st_w02_d0999_wu1,Weather,192,0.1840595006942749,0.8892398877968999,0.9781916305984462,False
A6ST_uniform,a6st_w02_d0999_wu1,Weather,336,0.234143316745758,1.027123434580579,1.0690369585170778,False
A6ST_uniform,a6st_w02_d0999_wu1,Weather,720,0.3059591650962829,0.8436308157212968,0.8643478141262984,False
A6-LBF,a6_lbf_r256,ETTh2,96,0.2420645654201507,0.0,0.665826704356709,False
A6-LBF,a6_lbf_r256,ETTh2,192,0.2828057408332824,0.0,2.0107523494897084,False
A6-LBF,a6_lbf_r256,ETTh2,336,0.3128487765789032,0.0,3.3868967492425517,False
A6-LBF,a6_lbf_r256,ETTh2,720,0.3941730856895447,0.0,2.568792512575424,False
A6-LBF,a6_lbf_r256,ETTm1,96,0.2730823159217834,0.0,0.9176522701323409,False
A6-LBF,a6_lbf_r256,ETTm1,192,0.3093577325344085,0.0,0.3806998483215418,False
A6-LBF,a6_lbf_r256,ETTm1,336,0.3471782207489013,0.0,0.13944637160057116,False
A6-LBF,a6_lbf_r256,ETTm1,720,0.4079044461250305,0.0,0.2939424724523354,False
A6-LBF,a6_lbf_r256,Weather,96,0.1413587778806686,0.0,0.04581271857673208,False
A6-LBF,a6_lbf_r256,Weather,192,0.1824371963739395,0.0,0.08816772026480901,False
A6-LBF,a6_lbf_r256,Weather,336,0.2317628264427185,0.0,0.04148739715787997,False
A6-LBF,a6_lbf_r256,Weather,720,0.3033995926380157,0.0,0.020543685543072954,False
