dataset,horizon,future_local_alignment_loss,future_relation_alignment_loss,future_reconstruction_loss,teacher_student_cosine,prediction_leakage_max_abs,true_future_prediction_max_abs,shuffled_future_prediction_max_abs,zero_future_prediction_max_abs
ETTh2,96,0.3566437634554776,0.043525266609239305,0.4391671886498278,0.643356205387549,0.0,0.0,0.0,0.0
ETTh2,192,0.3547915924679149,0.07485919204455885,0.486317667094144,0.6452083831483667,0.0,0.0,0.0,0.0
ETTh2,336,0.3622284263372421,0.11278662653639912,0.61079618409276,0.6377715498209,0.0,0.0,0.0,0.0
ETTh2,720,0.381248884341296,0.14987550007508083,0.9737932980060577,0.6187510946217705,0.0,0.0,0.0,0.0
ETTm1,96,0.1636815203560723,0.05663751375137104,0.09594432256287999,0.836318443218867,0.0,0.0,0.0,0.0
ETTm1,192,0.16554596785748943,0.06718268855527211,0.1302506627431244,0.83445399798704,0.0,0.0,0.0,0.0
ETTm1,336,0.16998262771151282,0.074836943235079,0.19569029521451078,0.8300173221663996,0.0,0.0,0.0,0.0
ETTm1,720,0.18062226912554571,0.0859870390199563,0.3153501901994733,0.8193776880993563,0.0,0.0,0.0,0.0
Weather,96,0.17649492694110405,0.027335056495602902,378.8353123804782,0.8235050287188553,0.0,0.0,0.0,0.0
Weather,192,0.16803528865178427,0.043695848107475926,478.321543181568,0.8319646804421036,0.0,0.0,0.0,0.0
Weather,336,0.17721229121088983,0.064995593263302,585.6189301666803,0.8227876655757427,0.0,0.0,0.0,0.0
Weather,720,0.19017548839767257,0.08926680628452208,1105.7161435192668,0.8098244597385456,0.0,0.0,0.0,0.0
